chunk_hash,n_lines,risk_score_logged_mean,risk_score_logged_std,model_score_mean,model_score_std,pred_bot_frac
8833d731519ea9cf5292a338f1b4a0db5ec63e31eb7013533888e3aed9555c45,16,0.31259800000000004,0.018819600675891068,0.2994337306800803,5.909613325609543e-17,0.0
89edb8708e4c2e3d26af924faf6e710a634bb4adcce284968f2a91eceda36da6,16,0.041453,0.033238459474931537,0.0875825950403446,1.3877787807814457e-17,0.0
8baa00c85a5028ac781e52e9d7522c362116b7acdf1f13109f9ef8846c980597,12,0.03625991666666667,0.02283451100839307,0.09595362365570446,1.0249425556552122e-17,0.0
8d8d092693bc8c7b45d8e6a0c3e6684098e2d584fb2a2217cadba93a83f96163,16,0.034524,0.023632427980778165,0.05639091162271248,8.592282265780381e-18,0.0
8e858669060a7adc17884c0a2ffd32862364f91155533f3717b892b2d41a28e1,12,0.05129025,0.012140472793886196,0.0730900256550366,2.0498851113104244e-17,0.0
93ad5fb93ed366e6c6a099b0ff1934ba366c36cbaaefb3f47f905aa288a15e06,12,0.07046341666666667,0.05375185704438217,0.06351989354909032,9.356402631322564e-18,0.0
950375c0bce00480e3d8a1576209b9e16dd18e36bcfd4e360e91e591c2a45749,12,0.05845041666666667,0.039045494784833046,0.054826380672636926,7.828128073785831e-18,0.0
96a9297684ddc97d3f0a9f7b5c244907848532cdcbd52e6eab2a91b5495dc6cc,4,0.429758,0.017601100306514895,0.41208571062783816,3.204937810639273e-17,0.0
97ab7a3ddbed2efe12fca8bf8a73aaec5b40a79d6b0f5240c9addbc081e8129e,12,0.043665583333333334,0.029444135166781463,0.08398898897048247,1.962615573354719e-17,0.0
98e15ea98a329a2392453be7a61fdf1eda30a661a14d00951cecf06f2edbdf6b,4,0.061586,0.016073431494239183,0.14098223350240346,1.6024689053196365e-17,0.0
99513d8373968fcd1eedb2563b185c0105b4ecd045e351811d38ced404a4ba7e,4,0.035911500000000006,0.032488076997569434,0.11240617464246731,1.6024689053196365e-17,0.0
99d737e02c97a27ed43635aab75af23ff479dee754670a6b1d7055aa8620f507,12,0.036657749999999996,0.022864376870124648,0.08830553564527373,1.6205764733521816e-17,0.0
9a284762fcccb67c45d5aa70d2e8e24cb6d841077336724727181bd32f61be48,4,0.39103849999999996,0.0008481275454395485,0.37456821372143084,0.0,0.0
9b6d9e2212704703a7f58180218832b7fe546cfdea94a9f3324daed58ddd89e6,16,0.060966,0.0449204100426521,0.05938300117297438,1.2794688166302259e-17,0.0
9d6220eaaccd61e71d733820ff5e898d8316908610ebb1894c7bde80684758d1,12,0.03152616666666667,0.01067241121118401,0.058685543533771034,8.102882366760908e-18,0.0
9ead1eb05358bca56da91c1df07b97f8e9761b371f71ab582f79609c7a88ff8e,16,0.03533,0.01177903335026549,0.1999426690477182,2.9548066628047714e-17,0.0
a9796b82ba4263f1c8df55d356a6b1017033ff30f944fe7907d20df993aaccb4,4,0.024725999999999998,0.0017990234387948716,0.08729271856626317,2.2662332591841973e-17,0.0
a97af7600ec3626c4e59a624a2b0b1fbf341cd374f52efa8006f2cf8a7f9947d,4,0.4110935,0.0213024928822896,0.420151436307598,6.409875621278546e-17,0.0
ac56b79b516113897ad9b85489b9707a78abd6b908694e577c49943b63679741,4,0.3989005,0.005746367229244339,0.39382834721195725,6.409875621278546e-17,0.0
acbce96675a3f5be14a97ad40403e6cd8b0c4e983e332a24355e3e02d02bd77f,12,0.045939,0.03056204526711344,0.08638836237788766,1.5656256147571663e-17,0.0
ad84d495e2c4bf06755a8a35ce95e963d866190e85d5542f505271e5699ec823,4,0.034147,0.028335196511288453,0.11341217263592769,2.7755575615628914e-17,0.0
ad8fc9e33c3cc7a4e32928819fd3d87bafea4fa87a3d73c36aadad43ea6e61e2,4,0.02715,0.01575127004403137,0.1262697334704348,3.204937810639273e-17,0.0
ae24ad6166792427ffff43441e4285c041087a9b8753b8731d3cf970138603c6,4,0.07520299999999999,0.004536818415292071,0.09974502971481464,1.6024689053196365e-17,0.0
aecdb8c10c9a9445ae4d0cbdd6198df83e714b319f794b7dbcc03ef5c21b14f1,16,0.018524,0.010121396478088716,0.052956124089770594,5.665583147960493e-18,0.0
b1020c5bfe88b905d89ccdfa37b9818df7582bd9f3071ab8fa89de4f730bed9d,12,0.04043508333333334,0.021822161281422704,0.08969749536074788,1.5086745922116257e-17,0.0
b1dab64d638ce78cbe04c5d155b3a42aca20027217063479576305869a176699,4,0.0924345,0.0021968177742665274,0.20645740505000737,2.7755575615628914e-17,0.0
b62c15e58d52c8ff65323d88d7b910bf8d51f6e31ea965a96c188b59d75f8b5a,4,0.0544945,0.007546545368577598,0.09032390438835249,1.3877787807814457e-17,0.0
b72efc310941a3772f40fb6d47198bd4b6d637871d1e00db0ec57d898daa965b,4,0.045566,0.04026209837220775,0.12675547400943793,1.6024689053196365e-17,0.0
bc8b4e7e18bcdc69bec6f2f2b79aa023133c7b2eb9acfaf8ca3f99674e3e3411,4,0.3464835,0.017816451956922642,0.361610194570764,3.204937810639273e-17,0.0
bd22af8fbbb44b0df5c6ec8343029aaf4d4904d368cd02327042213da93d4ab1,4,0.38477649999999997,0.02012469833314276,0.3909569953834507,9.064933036736789e-17,0.0
bdee8cf24a9c1a1bb0fe4724831e1fc8edb1a43c0a969c6d51738bb6b8c6285f,16,0.0371075,0.018858330509353153,0.06046575009484733,1.1188630228279526e-17,0.0
